Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
0.96,0.0439201,27.395,-4.19356,8.16153,9.96903,2.69525,0,25.3172,3.54548,11.9541,4.4626,4.02804,0.0423867,3.73741,0.451704,1.70977e-14,0.00343549,0.00343549,114.021,0,-0.230797,0.578678,1.00104,1.0004,1.00104,0.99959,0.937833,1.00479,0.999667,-0.0998309,1106.6,135
0.98,0.0439202,27.3961,-4.1956,8.16163,9.96918,2.69725,0,25.3172,3.54548,11.9532,4.46247,4.02799,0.0423867,3.73759,0.451734,1.70987e-14,0.00343879,0.00343879,114.021,0,-0.230799,0.578696,1.00104,1.0004,1.00104,0.999588,0.937833,1.00479,0.999667,-0.0998311,1108.56,135
1.00,0.0439203,27.3971,-4.19769,8.16175,9.96936,2.69934,0,25.3172,3.54547,11.9524,4.46233,4.02792,0.0423867,3.73776,0.451764,1.70997e-14,0.0034421,0.0034421,114.021,0,-0.2308,0.578713,1.00104,1.0004,1.00104,0.999585,0.937833,1.00479,0.999666,-0.0998312,1110.51,135
1.02,0.0439204,27.3982,-4.19983,8.1619,9.96958,2.70149,0,25.3172,3.54546,11.9518,4.46218,4.02785,0.0423868,3.73792,0.451794,1.71007e-14,0.0034454,0.0034454,114.021,0,-0.230802,0.57873,1.00105,1.0004,1.00105,0.999583,0.937833,1.00479,0.999666,-0.0998314,1111.5,135
1.04,0.0439206,27.3994,-4.20202,8.16207,9.96982,2.70371,0,25.3172,3.54546,11.9512,4.46202,4.02776,0.0423868,3.73808,0.451824,1.71017e-14,0.00344871,0.00344871,114.021,0,-0.230803,0.578748,1.00105,1.00041,1.00105,0.999581,0.937833,1.00479,0.999666,-0.0998316,1110.23,135
1.06,0.0439207,27.4005,-4.20425,8.16223,9.97005,2.706,0,25.3172,3.54545,11.9508,4.46187,4.02767,0.0423868,3.73822,0.451853,1.71027e-14,0.00345201,0.00345201,114.021,0,-0.230805,0.578766,1.00106,1.00041,1.00106,0.999579,0.937833,1.00479,0.999666,-0.0998317,1107.73,135
1.08,0.0439209,27.4017,-4.20653,8.16237,9.97027,2.70835,0,25.3172,3.54544,11.9504,4.46171,4.02758,0.0423868,3.73836,0.451883,1.71037e-14,0.00345531,0.00345531,114.021,0,-0.230806,0.578783,1.00106,1.00041,1.00106,0.999577,0.937833,1.00479,0.999666,-0.0998319,1104.69,135
1.10,0.0439211,27.4029,-4.20886,8.1625,9.97045,2.71076,0,25.3172,3.54543,11.9502,4.46156,4.02748,0.0423869,3.73849,0.451913,1.71046e-14,0.00345861,0.00345861,114.021,0,-0.230807,0.578801,1.00106,1.00041,1.00106,0.999575,0.937833,1.00479,0.999666,-0.099832,1101.49,135
1.12,0.0439213,27.4041,-4.21123,8.1626,9.9706,2.71324,0,25.3172,3.54543,11.9501,4.46142,4.02739,0.0423869,3.7386,0.451943,1.71056e-14,0.0034619,0.0034619,114.021,0,-0.230807,0.578819,1.00107,1.00041,1.00107,0.999573,0.937833,1.00479,0.999665,-0.0998321,1098.32,135
1.14,0.0439215,27.4053,-4.21364,8.16268,9.97071,2.71577,0,25.3172,3.54542,11.9501,4.46128,4.0273,0.0423869,3.73871,0.451972,1.71066e-14,0.00346518,0.00346518,114.021,0,-0.230808,0.578836,1.00107,1.00041,1.00107,0.999572,0.937833,1.00479,0.999665,-0.0998323,1095.29,135
1.16,0.0439217,27.4065,-4.2161,8.16274,9.9708,2.71836,0,25.3172,3.54541,11.9502,4.46115,4.0272,0.0423869,3.73881,0.452002,1.71076e-14,0.00346846,0.00346846,114.021,0,-0.230809,0.578854,1.00108,1.00041,1.00108,0.999571,0.937833,1.0048,0.999665,-0.0998324,1092.42,135
1.18,0.0439219,27.4078,-4.21859,8.16278,9.97086,2.72101,0,25.3172,3.54541,11.9504,4.46102,4.02711,0.042387,3.7389,0.452032,1.71086e-14,0.00347172,0.00347172,114.021,0,-0.230809,0.578872,1.00108,1.00042,1.00108,0.99957,0.937833,1.0048,0.999665,-0.0998325,1089.74,135
1.20,0.0439222,27.4091,-4.22113,8.16281,9.9709,2.72371,0,25.3172,3.5454,11.9508,4.46089,4.02701,0.042387,3.73897,0.452062,1.71096e-14,0.00347498,0.00347498,114.021,0,-0.23081,0.578889,1.00108,1.00042,1.00108,0.999569,0.937833,1.0048,0.999665,-0.0998326,1087.24,135
1.22,0.0439224,27.4104,-4.2237,8.16282,9.97091,2.72646,0,25.3172,3.54539,11.9512,4.46077,4.02691,0.042387,3.73904,0.452091,1.71105e-14,0.00347823,0.00347823,114.021,0,-0.23081,0.578906,1.00109,1.00042,1.00109,0.999569,0.937833,1.0048,0.999665,-0.0998327,1084.92,135
1.24,0.0439227,27.4117,-4.22632,8.16281,9.97091,2.72926,0,25.3172,3.54538,11.9518,4.46064,4.0268,0.042387,3.7391,0.452121,1.71115e-14,0.00348146,0.00348146,114.021,0,-0.23081,0.578924,1.00109,1.00042,1.00109,0.999569,0.937833,1.0048,0.999665,-0.0998328,1082.79,135
1.26,0.043923,27.4131,-4.22896,8.1628,9.97089,2.73211,0,25.3172,3.54538,11.9525,4.46052,4.0267,0.042387,3.73914,0.45215,1.71125e-14,0.00348469,0.00348469,114.021,0,-0.23081,0.578941,1.00109,1.00042,1.00109,0.999569,0.937833,1.0048,0.999665,-0.0998329,1080.83,135
1.28,0.0439233,27.4144,-4.23165,8.16278,9.97085,2.735,0,25.3172,3.54537,11.9533,4.46041,4.02659,0.0423871,3.73918,0.45218,1.71135e-14,0.0034879,0.0034879,114.021,0,-0.23081,0.578958,1.0011,1.00042,1.0011,0.99957,0.937833,1.0048,0.999664,-0.099833,1079.03,135
1.30,0.0439236,27.4158,-4.23436,8.16275,9.97081,2.73794,0,25.3172,3.54536,11.9542,4.46029,4.02647,0.0423871,3.7392,0.45221,1.71145e-14,0.0034911,0.0034911,114.021,0,-0.23081,0.578975,1.0011,1.00042,1.0011,0.999571,0.937833,1.0048,0.999664,-0.0998331,1077.38,135
1.32,0.043924,27.4172,-4.23711,8.16271,9.97076,2.74091,0,25.3171,3.54535,11.9553,4.46017,4.02635,0.0423871,3.73921,0.452239,1.71154e-14,0.00349429,0.00349429,114.021,0,-0.23081,0.578991,1.0011,1.00042,1.0011,0.999572,0.937833,1.0048,0.999664,-0.0998332,1075.89,135
1.34,0.0439243,27.4186,-4.2399,8.16267,9.9707,2.74393,0,25.3171,3.54535,11.9565,4.46006,4.02623,0.0423871,3.73921,0.452269,1.71164e-14,0.00349747,0.00349747,114.021,0,-0.23081,0.579008,1.0011,1.00043,1.0011,0.999574,0.937833,1.0048,0.999664,-0.0998333,1074.54,135
1.36,0.0439247,27.42,-4.24271,8.16263,9.97063,2.74699,0,25.3171,3.54534,11.9578,4.45994,4.0261,0.0423871,3.7392,0.452298,1.71174e-14,0.00350064,0.00350064,114.021,0,-0.230809,0.579024,1.00111,1.00043,1.00111,0.999575,0.937833,1.0048,0.999664,-0.0998334,1073.33,135
